sentence	label
atom maddenin en küçük parçasıdır ama molekül iki elementin birleşimi gibi olmali yani kimyasal bileşiklerin en küçük parcasıdır	3
atom maddenin en küçük yapıtaşıdır ancak parçalanabilir molekül ise atomların bir araya gelmesi ile oluşur	3
atomlar moleküllerden oluşur	0
protein ve yağ sindirimi midede başlayacağı için çoğu şeyi sindiremeyecektir	0
molekül atomlardan oluşur	1
atom proton elektron ve nötronlardan oluşur molekül birden çok atomdan oluşur	1
hiç sindirememek olabilir mi	0
potansiyel enerjinin kullanılmasıyla ortaya çıkan enerji çeşididir	0
vücudumuz için en temel organik besin olan proteinin kimyasal sindirimi midede baslar ince bağırsakta biter eğer mide olmasa proteinin kimyasal sindirimini ince bağırsak tek başına yapmakta zorlanacagi için ince bağırsak sorunları oluşur	0
atom tek cins elementtir molekül ise farklı atom içerir	2
molekül de birden fazla atom var	1
bazı yiyecekleri tüketemez rahat sindiremez doygunluk hissi duyar	0
moleküller atomlardan oluşur	1
atom en küçük yapı molekül ise birleşimi	2
moleküller birden fazla atomdan oluşabilir	1
molekül atomlardan oluşur atom maddenin bölünemeyen en küçük parçasıdır	3
atom maddenin en küçük yapıtaşıdır atomlar birleşerek molekülleri oluşturur	3
herhangi bir bilgim yok	0
atomların birleşmesiyle molekül oluşur	1
molekül en az iki atom birleşmesi ile oluşur	1
atom tek parçacıktır her bir element buna örnektir molekül içinde en az iki atom barındırır bu aynı elementin doğadaki halide olabilir iki ya da daha fazla elementin bir araya gelip bileşik oluşturmasıyla da	3
gazlı ve asitli besinler tüketmekte zorluk yaşar	0
moleküller birden fazla elementten oluşur	1
molekul birden fazla atomun bir araya gelmesi	1
atom en küçük yapı taşı molekül bir veya daha fazla atomun bir araya gelmesi	3
atomlar bir araya gelerek molekülleri oluşturur yani atomlar moleküllerden daha küçüktür	2
atom bir yapının en küçük birimidir fakat molekül o yapının oluşmuş haline denir	3
atomlar bir araya gelip molekülleri oluşturur benzer atomlar çeşitli sayılarda bir araya gelerek farklı özellikte moleküller oluşturabilir	1
atom bir tanedir molekül ise birden fazla atomdan oluşmuştur	2
atom tek parcacıkken molekül çok sayıda atomdan oluşur	2
atom maddenin en küçük yapısı molekül ise atomların oluşturduğu elementlerin birbiriyle bağlanmasıdır	3
molekül atomların bir araya gelmesiyle oluşur	1
