sentence	label
depolama azalacak mide sindirimi yavaşlayacak mide sıvısı az enzimler az	3
mide besinlerin depo edilmesini peristaltik hareketler yardımıyla besinlerin mekanik ve salgıladığı enzimlerle proteinlerin kimyasal sindirimini gerçekleştirir midesi alına erişkin bir insanda  besinler depo edilemez besinlerin mekanik ve kimyasal sindirimi zorlaşır	5
yiyeceğin sindirilen en önemli organı olmazsa sindirim gerçekleştirilemez ve vücuda enerji sentezi sağlanamaz dolayısıyla vücudun atp ihtiyacı karşılanamaz	2
çabuk doyar	0
ince bağırsağın görevi artacaktır mekanik sindirimi yapan yer sayısı azalacaktır bu yüzden hazımsızlık çeker	2
mide yiyeceklerin depolandığı yerdir mide olmazsa yediğimiz gibi boşaltıma gider	0
midesi alınan erişkin bir insanda proteinlerin sindiriminde zorluk yaşanır bunun yanında mide besinlerin depo edildiği yer olduğundan dolayı az ve belirli besinler yemek zorunda kalır	5
mayoz bölünme ile kromozom sayısı sabit kalır genetik çeşitlilik sağlanır değişen çevre koşullarına adaptasyon daha fazla olur	0
mide öz suyunda proteinlerin sindirimini gerçekleştiren pepsinojen enzimi bulunur eğer midemiz alınırsa mide öz suyu salgılanamaz ve proteinlerin sindirimi gerçekleşmez ayrıca mide öz suyunda buluna lipaz enzimi ince bağırsağa geçemez pepsin enzimi olmadığı için proteinler polipeptide dönüşemez	3
proteinlerin sindirimi gerçekleşmeyeceği için kas kütlesi kaybedecektir besinlerin midede fiziksel ve kimyasal sindirimleri gerçekleşmeyecektir	3
öğütme problemi	0
besinlerin emiliminde sorun olur	1
midede mekanik sindirim olduğu gibi proteinlerin kimyasal sindirimi de başlar eğer mide alınırsa mide öz suyu üretilemez proteinlerin sindirimi gerçekleşmez	3
midesi olmadığı için besinleri depo edecek yeri olmaz dolayısıyla çok fazla yiyemez ayrı zamanda besinleri parçalayamadığı için ince bağırsağa çok fazla iş düşer polimer ve katı madde alması sorun çıkartır proteinlerin sindirimi zorlaşır	5
kimyasal parçalama ve çözülme tam olarak yapılamaz	2
proteinleri karbonhidratları sindiremez	1
protein sindirimi başlamamış olur sindirilmesi zorlaşır kimus oluşmaz hazımsızlık oluşabilir çünkü ince bağırsak tamamını sindirmede zorlanır	2
sindirim yapamaz	0
proteinlerin sindirimi midede başladığından et ve süt ürünleri tüketimini azaltmak belki kesmek durumunda kalacak emilim daha geç ve daha verimsiz olacak buna bağlı olarak yapı ve onarım işlemleri daha geç gerçekleşecek veya aksayacaktır	3
kalıtsal çeşitliliği sağlar canlının uyum yeteneğini arttırır	0
ölür	0
artık sindiremeyecektir	0
bilmiyorum	0
bir süre sonra ölür	0
yemekler nereye	0
